location,is_global,year,category,category_standard,rank_position,query
Argentina,False,2008,Conflicto del Campo,Unmapped,1,Retenciones
Argentina,False,2008,Conflicto del Campo,Unmapped,2,Campo vs. Gobierno
Argentina,False,2008,Conflicto del Campo,Unmapped,3,Kirchner
Argentina,False,2008,Conflicto del Campo,Unmapped,4,Alfredo De Angelis
Argentina,False,2008,Conflicto del Campo,Unmapped,5,Cobos
Argentina,False,2008,Economia,Unmapped,1,Dolar
Argentina,False,2008,Economia,Unmapped,2,PBI
Argentina,False,2008,Economia,Unmapped,3,Rentas
Argentina,False,2008,Economia,Unmapped,4,Inflacion
Argentina,False,2008,Economia,Unmapped,5,Crisis
Argentina,False,2008,Fútbol,Unmapped,1,Boca
Argentina,False,2008,Fútbol,Unmapped,2,River
Argentina,False,2008,Fútbol,Unmapped,3,San Lorenzo
Argentina,False,2008,Fútbol,Unmapped,4,Racing
Argentina,False,2008,Fútbol,Unmapped,5,Independiente
Argentina,False,2008,Google,Unmapped,1,Google
Argentina,False,2008,Google,Unmapped,2,Google Earth
Argentina,False,2008,Google,Unmapped,3,Traductor Google
Argentina,False,2008,Google,Unmapped,4,Google Maps
Argentina,False,2008,Google,Unmapped,5,Google Videos
Argentina,False,2008,Más Popular,Unmapped,1,Juegos Juegos
Argentina,False,2008,Más Popular,Unmapped,2,Juegos
Argentina,False,2008,Más Popular,Unmapped,3,Argentina
Argentina,False,2008,Más Popular,Unmapped,4,YouTube
Argentina,False,2008,Más Popular,Unmapped,5,Videos
Argentina,False,2009,Emerging,Unmapped,1,Facebook
Argentina,False,2009,Emerging,Unmapped,2,YouTube
Argentina,False,2009,Emerging,Unmapped,3,Taringa
Argentina,False,2009,Emerging,Unmapped,4,Hotmail
Argentina,False,2009,Emerging,Unmapped,5,Great dt
Argentina,False,2011,Fastest Rising Searches,Searches,1,Facebook
Argentina,False,2011,Fastest Rising Searches,Searches,2,Wachiturros
Argentina,False,2011,Fastest Rising Searches,Searches,3,Padrones
Argentina,False,2011,Fastest Rising Searches,Searches,4,Gran Hermano
Argentina,False,2011,Fastest Rising Searches,Searches,5,Dónde Voto
Argentina,False,2011,People,People,1,Franco De Vita
Argentina,False,2011,People,People,2,Cintia Fernández
Argentina,False,2011,People,People,3,Justin Bieber
Argentina,False,2011,People,People,4,Facundo Cabral
Argentina,False,2011,People,People,5,Amy Winehouse
Argentina,False,2012,Actors,Actors,1,Facundo Arana
Argentina,False,2012,Actors,Actors,2,Sean Penn
Argentina,False,2012,Actors,Actors,3,Viggo Mortensen
Argentina,False,2012,Actors,Actors,4,Eugenia Suarez
Argentina,False,2012,Actors,Actors,5,Frankie Muniz
Argentina,False,2012,How to...,How To,1,Cómo Actualizar Facebook
Argentina,False,2012,How to...,How To,2,Cómo Conseguir Novia
Argentina,False,2012,How to...,How To,3,Cómo Comprar Dólares
Argentina,False,2012,How to...,How To,4,Cómo Se Chapa
Argentina,False,2012,How to...,How To,5,Cómo Desactivar Facebook
Argentina,False,2012,Local Searches,Searches,1,Hotel
Argentina,False,2012,Local Searches,Searches,2,Carrefour
Argentina,False,2012,Local Searches,Searches,3,Nordelta
